"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"AL355490.2",0.44763551512879,0.0616874450661969,0.46374633090875,0.0759918989896339,FALSE
"TP53TG5",-0.383836836611426,0.0616874450661969,-0.325584762422373,0.168863650377906,FALSE
"SRP54",-0.113521916362813,0.061697747147426,-0.0822226129097755,0.217563153762297,FALSE
"AC022087.1",-0.433749628087009,0.061697747147426,-0.457555766186699,0.0730126537267661,FALSE
"MED29",-0.240252923813162,0.0618539192173584,-0.149821214645864,0.28210728921,FALSE
"TADA1",-0.208935512873043,0.0618821323794996,-0.15735386773154,0.247191119423846,FALSE
"LINC02256",0.155670114045533,0.061925277488208,0.182939953971127,0.0671412574664289,FALSE
"USP16",-0.127113497680512,0.061960284179827,-0.0840197118288699,0.25081022684001,FALSE
"LANCL2",-0.221809804579231,0.0619755289242273,-0.20802635240331,0.0893684208531227,FALSE
"ASB8",0.427137666512995,0.0621224386828816,0.0434758198539149,0.705615731601051,FALSE
"LZTS2",0.250811038007229,0.0621385157113477,0.248199404308963,0.0693612611859375,FALSE
"LINC02398",0.471345987411155,0.0621651064400572,0.228894624692484,0.38286079204938,FALSE
"TAGLN",-0.89352125243355,0.0622442201794424,-0.472162975226893,0.00348341017428437,FALSE
"TMEM126B",0.331906050299746,0.0622629741933641,0.0850719238457428,0.497962092390996,FALSE
"FXR2",-0.343399720860514,0.0624136841271176,-0.172698266405806,0.159770789391711,FALSE
"RALGAPA1",0.07082882227628,0.0624404351797543,0.105278722781361,0.0618276423735625,FALSE
"LENG9",-0.14058232146922,0.0624672609556441,-0.0791182381955764,0.423664791922749,FALSE
"ACYP2",0.0911937965653036,0.0626189689889068,0.0872590289926451,0.166221598162499,FALSE
"SEC11A",-0.150404599826958,0.0627448034802453,-0.177310247394706,0.0461787667487045,FALSE
"KANK3",0.782397670737513,0.0627448034802453,-0.0384151991581422,0.870507753466042,FALSE
"KNTC1",0.227144114560941,0.0627520673527887,0.257980017131465,0.0513904925912822,FALSE
"RALA",0.201497042797149,0.0627580758064078,0.021863331992156,0.856942456806494,FALSE
"CHM",0.107944301530674,0.0628251227415943,0.0802093369922537,0.247509277822184,FALSE
"PRUNE1",0.265337783320409,0.0628390328788742,0.204582105425496,0.155685395954239,FALSE
"ZNF341",0.256021339453418,0.0630199177574083,0.338456186325912,0.0268132117094846,FALSE
"ZNF107",0.205796122050072,0.0631685802301867,0.221183351471431,0.0413703223297392,FALSE
"ENOSF1",-0.177581723258101,0.0631735369766721,-0.179168358287404,0.141601508883019,FALSE
"PDE6D",-0.149101349800624,0.0632006562063892,-0.153095184618692,0.129528203890517,FALSE
"CDNF",0.404203722304817,0.0632396530647475,0.438193047262671,0.0317085417933881,FALSE
"AC004797.1",-0.193610655188345,0.0632396530647475,-0.174759587980216,0.105303753515937,FALSE
"INPP5K",-0.2389045586003,0.0632904374824138,-0.229242275844932,0.102278913171133,FALSE
"CCNYL1",-0.226199781453031,0.0633152584812385,-0.221121041496666,0.0998058177930796,FALSE
"CAMTA2",-0.17229298403136,0.0633681445765124,-0.122047239161121,0.224820767672217,FALSE
"HIF1AN",0.166217238885613,0.063393274663851,0.199841062128573,0.0328505992933121,FALSE
"AL451123.1",-0.517824443946945,0.063494353058778,-0.490747716960152,0.10716315839675,FALSE
"SPATA1",-0.164907385253113,0.0635091637350853,-0.136789462083717,0.17319681165661,FALSE
"FBXO32",0.721097967873974,0.0635091637350853,-0.0547506034394786,0.672720762298721,FALSE
"PSMD14",-0.293462438972798,0.0635571051839263,-0.273492313516437,0.0734739155420998,FALSE
"AC073475.1",0.217581200668519,0.0635696893399978,0.0551515516522355,0.602951448753837,FALSE
"SAXO1",0.401366450658991,0.0635834075683935,0.404326742200165,0.0789628233723447,FALSE
"AL356108.1",0.404764185668337,0.0636203476889951,0.559353494945589,0.065288418984646,FALSE
"UBE4A",-0.139464835235903,0.063627717707203,-0.110983544059495,0.199670723155111,FALSE
"AL158206.1",-0.430867350051137,0.0637665279047415,-0.329637609165338,0.190231472224303,FALSE
"TBC1D25",-0.255861249365437,0.0638250590291244,-0.249511101042997,0.0738197962004342,FALSE
"STK40",-0.21463268025052,0.0638521481545286,-0.241318709184812,0.0551073569714661,FALSE
"IPO5",-0.177816437685775,0.06399980845346,-0.172359957606575,0.109772449956205,FALSE
"SMG1",-0.0979628821439537,0.064090684688602,-0.118598749060294,0.0262333114762388,FALSE
"MINDY3",0.11647738365605,0.0641829171132336,0.188994481504339,0.00897609642275457,FALSE
"AC005041.5",-0.240348990761363,0.0642744293791126,-0.20014917672487,0.161581598657425,FALSE
"WHAMM",-0.186966282557187,0.0642744293791126,-0.197959650066904,0.0598729250378635,FALSE
"TENM1",0.328174601062239,0.0643483470683835,0.360660310854843,0.0780219123189304,FALSE
"DYNC1I1",-0.329573845132399,0.0643795478495061,-0.339669741958101,0.0573184716551174,FALSE
"UBE2S",-0.387380640936586,0.064416496246897,-0.0968433638351233,0.61799051128562,FALSE
"EEF1AKNMT",-0.366809765746817,0.0644817705449459,-0.261111214247138,0.24016395550676,FALSE
"CEP72",0.298088647628235,0.0644817705449459,0.344504767867307,0.029511413155473,FALSE
"TRMO",-0.337603041367667,0.0645015389384842,-0.285768176448921,0.130175162733665,FALSE
