"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"LTV1",-0.29645177068031,0.177956456105146,-0.277367036201124,0.238815077938787,FALSE
"TBX18",0.2521760409831,0.177966492759127,0.273730623121183,0.219920270968867,FALSE
"ABHD2",-0.164295976597105,0.178337259087523,-0.224746846590276,0.0474055432886883,FALSE
"FKBP10",-0.308126896072846,0.178347178961891,-0.278737182218135,0.300054899019759,FALSE
"NDUFA6-DT",-0.336258521504711,0.178552613305409,-0.309179519594749,0.253450894080475,FALSE
"WDSUB1",0.233452033914582,0.178859300150564,0.205579907358735,0.302300437929462,FALSE
"PGK1",-0.403090508678088,0.178859300150564,0.0206209110419814,0.92633051030369,FALSE
"GUSB",-0.220219232803872,0.179002412685265,-0.215290420922393,0.252857466514952,FALSE
"KMT5A",0.319466183776801,0.179240494954322,0.197749716833963,0.433305652369856,FALSE
"STT3B",0.184889327772269,0.179401861111061,0.0350687842242448,0.76926182736437,FALSE
"ANKRD50",0.215559980828459,0.179401861111061,0.144092088020501,0.45912336624488,FALSE
"MEIS3",-0.24029192043293,0.179401861111061,-0.159881386183584,0.461877144959583,FALSE
"TP53",-0.243655199949988,0.179761416394023,-0.187001111537869,0.36420081646188,FALSE
"HMGXB4",0.22267806081681,0.179783671377316,0.211135204262811,0.232581276642658,FALSE
"AL360178.1",-0.268056998579807,0.17979395899403,-0.272523271923806,0.31147458479564,FALSE
"EMC1",-0.304076422463841,0.180267688078867,-0.257663027506829,0.336575764902916,FALSE
"JAK1",0.0974989898054819,0.180296178905617,0.154240283178978,0.143334624551122,FALSE
"ATIC",-0.304158083491592,0.180481692942664,-0.254570942472882,0.289672573449073,FALSE
"RIPOR3",-0.127265293975351,0.180481692942664,-0.209173675801322,0.234834671611062,FALSE
"HIF1AN",0.21998876324985,0.180567981511057,0.219281812568306,0.260978790540971,FALSE
"SLC25A16",-0.185139789340205,0.180593438490312,-0.192676737684518,0.171138999427887,FALSE
"SGF29",-0.256038353384242,0.180767555758573,-0.217407857480309,0.33239239107976,FALSE
"ACOT9",-0.168241688222435,0.180767555758573,-0.141183283586161,0.318040200870768,FALSE
"LARP1B",-0.171791577589136,0.180816974831342,-0.262055951250418,0.0535218786104647,FALSE
"AC026894.1",0.226185511627059,0.180820517156616,0.398582761146179,0.0293569573022472,FALSE
"NECTIN1",0.339290434184235,0.180885373593046,0.508441061622177,0.0791771561922154,FALSE
"SH3PXD2A",-0.13406495815274,0.18095056882339,-0.137004211203255,0.34992130879904,FALSE
"ZSCAN30",0.212809011616092,0.18095056882339,0.067699274337089,0.719956453612898,FALSE
"SIRT7",-0.338555819006688,0.180951891137493,-0.314952961155425,0.207974609561832,FALSE
"ZBTB46-AS1",0.225397918791862,0.180967800966735,0.312319792189887,0.120112845795477,FALSE
"VASH1",0.288843867139528,0.181208984382182,0.339063209866631,0.183014197317804,FALSE
"HOOK2",0.250679494619269,0.181208984382182,0.0142660409465226,0.933328028598896,FALSE
"COPS3",-0.235005487033615,0.18141972834097,-0.198023232760271,0.34058781982128,FALSE
"GPR176",0.230851654235535,0.181601392148213,0.303990561675773,0.165546431192238,FALSE
"GCLM",-0.282707453256194,0.181954104537428,-0.228846062944529,0.382441852023787,FALSE
"PDE5A",0.100169935012465,0.181954104537428,0.0664618640216791,0.681039475181692,FALSE
"DIS3",-0.184591668291416,0.182116060049699,-0.170307157997065,0.222572088925067,FALSE
"AC079328.2",-0.392220451892581,0.182116060049699,-0.152423423135637,0.687597466767103,FALSE
"RIOK3",-0.1576576198459,0.182116060049699,-0.203228227173323,0.0895838949895577,FALSE
"ANKUB1",-0.115675086601087,0.182131780786206,-0.195966231915609,0.135254394697163,FALSE
"SUMO2",-0.259421891606752,0.182131780786206,-0.262297689968534,0.236381138795529,FALSE
"WDR92",0.195278083506386,0.182253045335969,0.159468006110102,0.295090576838953,FALSE
"TAF1",-0.108224208738141,0.182293523113165,-0.0350315312797254,0.785968933181901,FALSE
